"","variable","question","labels"
"1","ID","ID",NA
"2","survey_finish_time","Czas trwania ankiety w sekundach",NA
"3","sex","Jakiej jesteś płci?","1:Kobieta, 2:Mężczyzna, 3:Inna, 4:Wolę nie odpowiać"
"4","sex3","W jakiej formie wolisz mieć zadawane pytania w tej ankiecie?","1:Żeńskiej, 2:Męskiej, 99:uzasdanony brak danych"
"5","age","W jakim jesteś wieku?","1:15-17 lat, 2:18-24 lata, 3:25-34 lata, 4:35-44 lata, 5:45-54 lata, 6:55 lat lub więcej"
"6","year","Ile dokładnie masz lat?",NA
"7","miasta","W jakiej miejscowości mieszkasz?","1:Wieś, 2:Wieś gminna, 3:Miasto do 5 tys. mieszkańców, 4:Miasto od 5 tys. do 50 tys. mieszkańców, 5:Miasto od 50 tys. do 200 tys. mieszkańców, 6:Miasto powyżej 200 tys. mieszkańców"
"8","miasta2","Zamieszkanie:","1:Samodzielnie, 2:Z rodzicami, 3:Ze znajomymi/ niespokrewnionymi współlokatorami, 4:Z partnerem/ ką (mężem/ żoną) i dzieckiem/ dziećmi (jeśli Pan posiada), 5:W rodzinie wielopokoleniowej (tj. z rodziną, którą założyłem i z rodzicami/teściami/dziadkami), 6:Inne"
"9","miasta2_r6_input","Zamieszkanie: inne (jakie?)",NA
"10","wyksztalcenie","Jakie jest Twoje obecne wykształcenie (ostatnio ukończona szkoła)?","1:Podstawowe, 2:Zawodowe, 3:Średnie, 4:Wyższe licencjackie, 5:Wyższe magisterskie, 6:Studia doktoranckie i dalsze stopnie akadamickie"
"11","skala1_r1","Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żebym wydawał się pewny siebie.","0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie"
"12","skala1_r2","Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żebym nie ujawniał moich pozytywnych uczuć wobec nich.","0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie"
"13","skala1_r3","Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żebym czuł się z nimi związany.","0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie"
"14","skala1_r4","Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żebym jawił się jako silny.","0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie"
"15","skala1_r5","Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żebym dostosowywał się do ich oczekiwań.","0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie"
"16","skala1_r6","Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żebym był wyjątkowy.","0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie"
"17","skala1_r7","Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żebym trzymał gardę wysoko.","0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie"
"18","skala1_r8","Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żebym stawiał innych potrzeby ponad swoje.","0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie"
"19","skala1_r9","Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żeby oni przyznawali mi rację, kiedy ją mam.","0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie"
"20","skala1_r10","Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żebym nie popełniał gaf.","0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie"
"21","skala1_r11","Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żeby oni pokazywali zainteresowanie wobec tego, co mam do powiedzenia.","0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie"
"22","skala1_r12","Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żebym odpowiadał atakiem, gdy zostanę zaatakowany(a).","0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie"
"23","skala1_r13","Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żebym nie wdawał się w kłótnie.","0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie"
"24","skala1_r14","Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żeby mnie nie oszukiwali.","0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie"
"25","skala1_r15","Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żeby nie wiedzieli(a), co myślę lub czuję.","0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie"
