"","variable","question","labels"
"1","ID","ID",NA
"2","survey_finish_time","Czas trwania ankiety w sekundach",NA
"3","sex","Jakiej jesteœ p³ci?","1:Kobieta, 2:Mê¿czyzna, 3:Inna, 4:Wolê nie odpowiaæ"
"4","sex3","W jakiej formie wolisz mieæ zadawane pytania w tej ankiecie?","1:¯eñskiej, 2:Mêskiej, 99:uzasdanony brak danych"
"5","age","W jakim jesteœ wieku?","1:15-17 lat, 2:18-24 lata, 3:25-34 lata, 4:35-44 lata, 5:45-54 lata, 6:55 lat lub wiêcej"
"6","year","Ile dok³adnie masz lat?",NA
"7","miasta","W jakiej miejscowoœci mieszkasz?","1:Wieœ, 2:Wieœ gminna, 3:Miasto do 5 tys. mieszkañców, 4:Miasto od 5 tys. do 50 tys. mieszkañców, 5:Miasto od 50 tys. do 200 tys. mieszkañców, 6:Miasto powy¿ej 200 tys. mieszkañców"
"8","miasta2","Zamieszkanie:","1:Samodzielnie, 2:Z rodzicami, 3:Ze znajomymi/ niespokrewnionymi wspó³lokatorami, 4:Z partnerem/ k¹ (mê¿em/ ¿on¹) i dzieckiem/ dzieæmi (jeœli Pan posiada), 5:W rodzinie wielopokoleniowej (tj. z rodzin¹, któr¹ za³o¿y³em i z rodzicami/teœciami/dziadkami), 6:Inne"
"9","miasta2_r6_input","Zamieszkanie: inne (jakie?)",NA
"10","wyksztalcenie","Jakie jest Twoje obecne wykszta³cenie (ostatnio ukoñczona szko³a)?","1:Podstawowe, 2:Zawodowe, 3:Œrednie, 4:Wy¿sze licencjackie, 5:Wy¿sze magisterskie, 6:Studia doktoranckie i dalsze stopnie akadamickie"
"11","skala1_r1","Kiedy jestem z nim/ni¹/nimi, jest dla mnie wa¿ne: -  ¿ebym wydawa³ siê pewny siebie.","0:0 Niewa¿ne dla mnie, 1:1 Lekko wa¿ne dla minie, 2:2 Umiarkowanie wa¿ne dla mnie, 3:3 Bardzo wa¿ne dla mnie, 4:4 Niezwykle wa¿ne dla mnie"
"12","skala1_r2","Kiedy jestem z nim/ni¹/nimi, jest dla mnie wa¿ne: -  ¿ebym nie ujawnia³ moich pozytywnych uczuæ wobec nich.","0:0 Niewa¿ne dla mnie, 1:1 Lekko wa¿ne dla minie, 2:2 Umiarkowanie wa¿ne dla mnie, 3:3 Bardzo wa¿ne dla mnie, 4:4 Niezwykle wa¿ne dla mnie"
"13","skala1_r3","Kiedy jestem z nim/ni¹/nimi, jest dla mnie wa¿ne: -  ¿ebym czu³ siê z nimi zwi¹zany.","0:0 Niewa¿ne dla mnie, 1:1 Lekko wa¿ne dla minie, 2:2 Umiarkowanie wa¿ne dla mnie, 3:3 Bardzo wa¿ne dla mnie, 4:4 Niezwykle wa¿ne dla mnie"
"14","skala1_r4","Kiedy jestem z nim/ni¹/nimi, jest dla mnie wa¿ne: -  ¿ebym jawi³ siê jako silny.","0:0 Niewa¿ne dla mnie, 1:1 Lekko wa¿ne dla minie, 2:2 Umiarkowanie wa¿ne dla mnie, 3:3 Bardzo wa¿ne dla mnie, 4:4 Niezwykle wa¿ne dla mnie"
"15","skala1_r5","Kiedy jestem z nim/ni¹/nimi, jest dla mnie wa¿ne: -  ¿ebym dostosowywa³ siê do ich oczekiwañ.","0:0 Niewa¿ne dla mnie, 1:1 Lekko wa¿ne dla minie, 2:2 Umiarkowanie wa¿ne dla mnie, 3:3 Bardzo wa¿ne dla mnie, 4:4 Niezwykle wa¿ne dla mnie"
"16","skala1_r6","Kiedy jestem z nim/ni¹/nimi, jest dla mnie wa¿ne: -  ¿ebym by³ wyj¹tkowy.","0:0 Niewa¿ne dla mnie, 1:1 Lekko wa¿ne dla minie, 2:2 Umiarkowanie wa¿ne dla mnie, 3:3 Bardzo wa¿ne dla mnie, 4:4 Niezwykle wa¿ne dla mnie"
"17","skala1_r7","Kiedy jestem z nim/ni¹/nimi, jest dla mnie wa¿ne: -  ¿ebym trzyma³ gardê wysoko.","0:0 Niewa¿ne dla mnie, 1:1 Lekko wa¿ne dla minie, 2:2 Umiarkowanie wa¿ne dla mnie, 3:3 Bardzo wa¿ne dla mnie, 4:4 Niezwykle wa¿ne dla mnie"
"18","skala1_r8","Kiedy jestem z nim/ni¹/nimi, jest dla mnie wa¿ne: -  ¿ebym stawia³ innych potrzeby ponad swoje.","0:0 Niewa¿ne dla mnie, 1:1 Lekko wa¿ne dla minie, 2:2 Umiarkowanie wa¿ne dla mnie, 3:3 Bardzo wa¿ne dla mnie, 4:4 Niezwykle wa¿ne dla mnie"
"19","skala1_r9","Kiedy jestem z nim/ni¹/nimi, jest dla mnie wa¿ne: -  ¿eby oni przyznawali mi racjê, kiedy j¹ mam.","0:0 Niewa¿ne dla mnie, 1:1 Lekko wa¿ne dla minie, 2:2 Umiarkowanie wa¿ne dla mnie, 3:3 Bardzo wa¿ne dla mnie, 4:4 Niezwykle wa¿ne dla mnie"
"20","skala1_r10","Kiedy jestem z nim/ni¹/nimi, jest dla mnie wa¿ne: -  ¿ebym nie pope³nia³ gaf.","0:0 Niewa¿ne dla mnie, 1:1 Lekko wa¿ne dla minie, 2:2 Umiarkowanie wa¿ne dla mnie, 3:3 Bardzo wa¿ne dla mnie, 4:4 Niezwykle wa¿ne dla mnie"
"21","skala1_r11","Kiedy jestem z nim/ni¹/nimi, jest dla mnie wa¿ne: -  ¿eby oni pokazywali zainteresowanie wobec tego, co mam do powiedzenia.","0:0 Niewa¿ne dla mnie, 1:1 Lekko wa¿ne dla minie, 2:2 Umiarkowanie wa¿ne dla mnie, 3:3 Bardzo wa¿ne dla mnie, 4:4 Niezwykle wa¿ne dla mnie"
"22","skala1_r12","Kiedy jestem z nim/ni¹/nimi, jest dla mnie wa¿ne: -  ¿ebym odpowiada³ atakiem, gdy zostanê zaatakowany(a).","0:0 Niewa¿ne dla mnie, 1:1 Lekko wa¿ne dla minie, 2:2 Umiarkowanie wa¿ne dla mnie, 3:3 Bardzo wa¿ne dla mnie, 4:4 Niezwykle wa¿ne dla mnie"
"23","skala1_r13","Kiedy jestem z nim/ni¹/nimi, jest dla mnie wa¿ne: -  ¿ebym nie wdawa³ siê w k³ótnie.","0:0 Niewa¿ne dla mnie, 1:1 Lekko wa¿ne dla minie, 2:2 Umiarkowanie wa¿ne dla mnie, 3:3 Bardzo wa¿ne dla mnie, 4:4 Niezwykle wa¿ne dla mnie"
