dane1;eng1;dane2;eng2;key;Octant Code;Item Code;"CSIV Item: ""How important is it that...""";questions;labels
id;id;ID;id;;;;;ID;NA
wiek;age;survey_finish_time;REMOVE;;;;;Czas trwania ankiety w sekundach;NA
plec;gender;sex;gender;demographic;;;;Jakiej jesteś płci?;1:Kobieta, 2:Mężczyzna, 3:Inna, 4:Wolę nie odpowiać
poziom_wyksztalcenia;education;sex3;REMOVE;;;;;W jakiej formie wolisz mieć zadawane pytania w tej ankiecie?;1:Żeńskiej, 2:Męskiej, 99:uzasdanony brak danych
stan_cywilny;martial_state;age;REMOVE;;;;;W jakim jesteś wieku?;1:15-17 lat, 2:18-24 lata, 3:25-34 lata, 4:35-44 lata, 5:45-54 lata, 6:55 lat lub więcej
zwiazek;relationship;year;age;demographic;;;;Ile dokładnie masz lat?;NA
aktywnosc_zawodowa;job_activity;miasta;residence;demographic;;;;W jakiej miejscowości mieszkasz?;1:Wieś, 2:Wieś gminna, 3:Miasto do 5 tys. mieszkańców, 4:Miasto od 5 tys. do 50 tys. mieszkańców, 5:Miasto od 50 tys. do 200 tys. mieszkańców, 6:Miasto powyżej 200 tys. mieszkańców
czy_mieszkanie_partner;if_housing_partner;miasta2;tenants;demographic;;;;Zamieszkanie:;1:Samodzielnie, 2:Z rodzicami, 3:Ze znajomymi/ niespokrewnionymi współlokatorami, 4:Z partnerem/ ką (mężem/ żoną) i dzieckiem/ dziećmi (jeśli Pan posiada), 5:W rodzinie wielopokoleniowej (tj. z rodziną, którą założyłem i z rodzicami/teściami/dziadkami), 6:Inne
czy_dzieci;if_children;miasta2_r6_input;tenants_input;demographic;;;;Zamieszkanie: inne (jakie?);NA
miejsce_zamieszkania;residence;wyksztalcenie;education;demographic;;;;Jakie jest Twoje obecne wykształcenie (ostatnio ukończona szkoła)?;1:Podstawowe, 2:Zawodowe, 3:Średnie, 4:Wyższe licencjackie, 5:Wyższe magisterskie, 6:Studia doktoranckie i dalsze stopnie akadamickie
lokatorzy;tenants;skala1_r1;CSIV_1;Agentic;+A (PA);PA1;I appear confident;Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żebym wydawał się pewny siebie.;0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie
czy_farmakoterapia;if_pharmacotherapy;skala1_r2;CSIV_2;Submissive_Separate;-A-C (FG);FG1;I not reveal my positive feelings for them;Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żebym nie ujawniał moich pozytywnych uczuć wobec nich.;0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie
czy_psychoterapia_obecnie;if_psychotherapy_now;skala1_r3;CSIV_3;Communal;+C (LM);LM1;I feel connected to them;Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żebym czuł się z nimi związany.;0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie
czy_choroba_somatyczna;if_somatic_disease;skala1_r4;CSIV_4;Agentic_Separate;+A-C (BC);BC1;I appear forceful;Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żebym jawił się jako silny.;0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie
czy_wydarzenie_zyciowe;if_life_event;skala1_r5;CSIV_5;Submissive;-A (HI);HI1;I conform to their expectations;Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żebym dostosowywał się do ich oczekiwań.;0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie
czy_psychoterapia;if_psychotherapy;skala1_r6;CSIV_6;Agentic_Communal;+A+C (NO);NO1;I am unique;Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żebym był wyjątkowy.;0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie
psychoterapia_czas;psychotherapy_time;skala1_r7;CSIV_7;Separate;-C (DE);DE1;I keep my guard up;Kiedy jestem z nim/nią/nimi, jest dla mnie ważne: -  żebym trzymał gardę wysoko.;0:0 Nieważne dla mnie, 1:1 Lekko ważne dla minie, 2:2 Umiarkowanie ważne dla mnie, 3:3 Bardzo ważne dla mnie, 4:4 Niezwykle ważne dla mnie
